Regulator	Target	MI	pvalue
T cell CD4	Neutrophils	0.31077079471217084	0.017422237059726342
T cell CD4	pDC	0.37488424903281364	0.0
stromal dividing	Fibroblast peribronchial	0.27150314667476444	4.1714451610275205E-5
Plasma cell	T cell CD8 dividing	0.36529373759821826	0.0
T cell CD8 dividing	Macrophage	0.3195682794390471	1.4521372131426347E-6
Endothelial cell venous	Fibroblast alveolar	0.29060228007135275	3.4254679093237428E-9
T cell CD4	transitional club/AT2	0.31850776649132134	0.0
Fibroblast adventitial	Fibroblast peribronchial	0.2738722981316591	0.0
Macrophage alveolar	T cell CD4	0.3552445693785116	0.0025932099545551424
T cell CD8 effector memory	T cell CD8 activated	0.6067420072963048	0.0
NK cell	T cell CD4	0.74155896713547	0.0
T cell CD8 effector memory	T cell NK-like	0.49291229042689033	0.0
B cell	T cell CD8 naive	0.4145802038639083	1.3949189286321939E-5
